,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
cbb_advanced_MP,-0.10171473085432532,0.17955753618882964,-0.08340685538016603,-0.1251857572035076,-0.051485109940564704,0.0353022223138584,-0.00271971236066032,-0.001682832409769075,-0.045682722582554534,-0.032080100527352995,-0.011200192987497581,-0.02232015891920977,0.012779568253853561
cbb_advanced_OBPM,0.003512430914914997,0.15087455183720563,0.2271082879871465,0.02703603124404218,0.09273771229206046,-0.06839609470915883,-0.0036929818822558635,-0.052309546682771824,-0.10330335865109985,-0.0439850481433354,0.03594139941971798,-0.09220318961836327,-0.017716318714926488
cbb_advanced_ORBpct,0.1993407734387787,0.01719596868630021,-0.0346420064714349,-0.006101867102843846,-0.056152318130157836,-0.03816319818665001,-0.009654571668327727,-0.006451311401090162,-0.05931827369498449,0.05568992741647547,0.0954986870680995,-0.08919733901860244,0.0716891145813984
cbb_advanced_OWS,-0.02822294513154642,0.20433183504206215,0.12037157901151753,-0.036906134611725316,0.04929761508763473,0.045113082138821536,0.035293060075324734,-0.03741310260832065,-0.11665458841161941,0.009019320404875408,0.0575846013647045,-0.03763475422705653,-0.0369639905841022
cbb_advanced_PER,0.11992054338781509,0.13461670895349595,0.15238215366395527,0.09192369623772621,0.1322987215873973,-0.06850021442221904,-0.007710847004167715,-0.03242951024381929,-0.029924586597873337,-0.043802092312362706,0.024269605743232725,0.01974317497658396,0.024876243935634507
cbb_advanced_PProd,-0.0744415157114125,0.21778011741048572,-0.02579395493420326,0.051627393944502324,0.002481416834225314,0.03767328216673024,-0.03620078277381347,0.008794053193334789,0.012610014451094054,-0.026005995057567344,0.025303331201511958,-0.03220816027517015,-0.040623654027637526
cbb_advanced_STLpct,-0.05029785115565446,-0.007945690394785218,-0.07849639600438751,-0.004550044739227001,0.31922519954070355,-0.17869899484904223,-0.09563898516521706,-0.10967913317851091,0.12326230657671905,0.1814582951389182,0.09693306721542,0.02474114288968316,0.24087568052689942
cbb_advanced_TOVpct,0.026213772937832662,-0.05303269885443236,-0.17808324697169567,0.0006425191633981779,0.19818492569741541,0.1532464831354482,-0.1100337994921862,0.3621310418024017,0.12285321967787899,-0.1035701164510025,-0.013931797726782325,-0.013784060549284854,-0.008343047540315087
cbb_advanced_TRBpct,0.1989129741490909,0.02608840465332949,-0.02492068500358071,0.019431445360537362,-0.057578526804312545,-0.14307634009439157,-0.03287337039797555,0.13532199480464108,-0.07139162487405554,-0.05714840433612714,0.09532828987558378,-0.06975055844862277,0.05367525412412083
cbb_advanced_TSpct,0.08004835558258643,0.07755777999824098,0.25361860980007433,-0.09679341699668563,0.07645718860827043,0.1541793918270044,0.0294498621471967,0.13515083306564485,0.07188612634536808,0.00029956751117378444,0.044742392890852495,0.013538717574119064,0.03858733692663111
cbb_advanced_USGpct,-0.017753567087956897,0.10469375859490533,0.023751698105066263,0.3184975156588414,-0.028160469101288384,-0.07025573958843463,-0.04555197893647477,0.026610422219566988,0.1357790206953769,-0.012930500667560898,-0.03815544062497721,0.02942077628642112,-0.020783997364544133
cbb_advanced_WS,-0.008650063542305011,0.21526457388417433,0.05823569223186712,-0.08631278270724543,0.07428398984855134,-0.060604041329862225,0.038110916210680156,-0.030704057597867866,-0.07791178328291748,0.004372764008602674,0.01373260836307729,-0.04686663011982819,-0.05075069609941144
cbb_advanced_WS_40,0.0865695899171713,0.13904141143746146,0.17916560797553976,-0.007483229902258631,0.1580937886082894,-0.10601971802149854,0.07072687022503815,-0.0490455337048295,-0.06152007817058214,0.0029813870302120076,0.03787080062758522,-0.038279555200335436,-0.06243032100665935
cbb_per100_2P,0.16318623974660976,0.09382727796763701,-0.002265171254551552,0.1594524019462247,0.0007756020881390292,0.06172698132992741,-0.1411657952237145,-0.1221421504541227,-0.01598629402636333,0.05028285731474327,-0.0600830430783922,0.09966118973377865,-0.02041832304869068
cbb_per100_2PA,0.12331661278478781,0.08604366229677163,-0.07308067186959731,0.22803248033809081,-0.023221365964697663,-0.0009521533496716904,-0.11156054079403616,-0.1475029086249178,-0.06909524846383318,0.07191384641702214,-0.09516564576313347,0.14184320949365237,-0.04526839473445893
cbb_per100_2Ppct,0.14747160008673987,0.04933929984476028,0.1472565735340819,-0.09069058138462877,0.057959414987791974,0.15750229418782116,-0.14117626294036892,0.017561322784893325,0.11681558948158537,-0.016256136387007184,0.06396549664407188,-0.0461478165488125,0.043975141937546924
cbb_per100_3P,-0.1666920202066614,0.011046994242996086,0.18044730075662613,0.018004886696021755,-0.06633812477687184,-0.12702267858513622,-0.004768588268700741,0.09737569539062739,0.14851408204464547,-0.036613928303134084,0.030745371641430493,-0.07343139626131588,0.0019767198112846107
cbb_per100_3PA,-0.17448512842907696,0.006865172220323082,0.14339524233320736,0.03907844438001723,-0.07644847501462873,-0.14379721824207178,-0.004242842456449352,0.06294198098507134,0.17178854298080795,-0.07363965913043029,0.0480428691488938,-0.08986429479343763,0.003991491365524402
