college_player_id,college_url,3PAr,ASTpct,Awards,BLKpct,BPM,Class,Conf,DBPM,DRBpct,DWS,FTr,G,GS,MP,OBPM,ORBpct,OWS,PER,PProd,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,WS,WS_40
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,0.084,,,,,JR,Pac-10,,,2.0,0.498,32.0,26.0,971.0,,,0.8,,,F,,2000-01,19.2,,0.506,UCLA,,2.9,0.118
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,0.319,21.8,,0.7,,SR,Pac-10,,,1.1,0.365,31.0,31.0,953.0,,,1.9,,,F,,2001-02,18.7,11.5,0.554,UCLA,23.9,3.0,0.126
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,0.226,21.8,,0.7,,Career,Career,,,4.6,0.414,121.0,66.0,2731.0,,,3.2,,,,,Career,19.0,11.5,0.52,Career,23.9,7.9,0.115
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,0.027,,,,,FR,CUSA,,,1.5,0.49,30.0,17.0,508.0,,,0.0,,,C,,1999-00,12.0,,0.457,Memphis,,1.5,0.115
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,0.0,,,,,SO,CUSA,,,2.6,0.614,36.0,10.0,690.0,,,1.4,,,C,,2000-01,15.0,,0.557,Memphis,,4.0,0.23
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,0.039,,,,,JR,CUSA,,,2.5,0.502,36.0,21.0,781.0,,,1.8,,,C,,2001-02,18.2,,0.584,Memphis,,4.3,0.219
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,0.06,,,,,SR,CUSA,,,1.7,0.548,26.0,15.0,554.0,,,0.3,,,C,,2002-03,12.2,,0.49,Memphis,,2.0,0.145
earl-barron-1,https://www.sports-reference.com/cbb/players/earl-barron-1.html,0.031,,,,,Career,Career,,,8.3,0.541,128.0,63.0,2533.0,,,3.4,,,,,Career,14.8,,0.531,Career,,11.7,0.185
brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,0.079,,,,,FR,SEC,,,2.2,0.654,29.0,29.0,1013.0,,,2.4,,,F,,2003-04,14.9,,0.588,LSU,,4.6,0.18
brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,0.082,5.5,,3.3,,SO,SEC,,,1.7,0.589,30.0,29.0,1007.0,,,3.8,,,F,,2004-05,11.7,16.1,0.637,LSU,23.2,5.5,0.217
brandon-bass-1,https://www.sports-reference.com/cbb/players/brandon-bass-1.html,0.081,5.5,,3.3,,Career,Career,,,3.9,0.617,59.0,58.0,2020.0,,,6.2,,,,,Career,13.1,16.1,0.616,Career,23.2,10.0,0.198
shane-battier-1,https://www.sports-reference.com/cbb/players/shane-battier-1.html,0.135,,,,,FR,ACC,,,4.7,0.607,36.0,20.0,886.0,,,1.7,,,F,,1997-98,9.8,,0.6,Duke,,6.4,0.288
