nba_player_id,college_player_id,college_url
goodwjo01,jordan-goodwin-1,https://www.sports-reference.com/cbb/players/jordan-goodwin-1.html
graveha01,hassani-gravett-1,https://www.sports-reference.com/cbb/players/hassani-gravett-1.html
grimequ01,quentin-grimes-1,https://www.sports-reference.com/cbb/players/quentin-grimes-1.html
hallty01,tyler-hall-2,https://www.sports-reference.com/cbb/players/tyler-hall-2.html
hausesa01,sam-hauser-1,https://www.sports-reference.com/cbb/players/sam-hauser-1.html
henryaa01,aaron-henry-1,https://www.sports-reference.com/cbb/players/aaron-henry-1.html
hillma01,malcolm-hill-1,https://www.sports-reference.com/cbb/players/malcolm-hill-1.html
huffja01,jay-huff-1,https://www.sports-reference.com/cbb/players/jay-huff-1.html
huntfe01,feron-hunt-1,https://www.sports-reference.com/cbb/players/feron-hunt-1.html
hylanbo01,nahshon-hyland-1,https://www.sports-reference.com/cbb/players/nahshon-hyland-1.html
jacksis01,isaiah-jackson-3,https://www.sports-reference.com/cbb/players/isaiah-jackson-3.html
jarrede01,dejon-jarreau-1,https://www.sports-reference.com/cbb/players/dejon-jarreau-1.html
johnsda08,david-johnson-13,https://www.sports-reference.com/cbb/players/david-johnson-13.html
johnsja05,jalen-johnson-24,https://www.sports-reference.com/cbb/players/jalen-johnson-24.html
johnske07,keon-johnson-2,https://www.sports-reference.com/cbb/players/keon-johnson-2.html
jonesca03,carlik-jones-1,https://www.sports-reference.com/cbb/players/carlik-jones-1.html
joneshe01,herb-jones-3,https://www.sports-reference.com/cbb/players/herb-jones-3.html
joneska01,kai-jones-1,https://www.sports-reference.com/cbb/players/kai-jones-1.html
keybr01,braxton-key-1,https://www.sports-reference.com/cbb/players/braxton-key-1.html
kispeco01,corey-kispert-1,https://www.sports-reference.com/cbb/players/corey-kispert-1.html
landajo01,jock-landale-1,https://www.sports-reference.com/cbb/players/jock-landale-1.html
lewissc01,scottie-lewis-1,https://www.sports-reference.com/cbb/players/scottie-lewis-1.html
liveris01,isaiah-livers-1,https://www.sports-reference.com/cbb/players/isaiah-livers-1.html
mamuksa01,sandro-mamukelashvili-1,https://www.sports-reference.com/cbb/players/sandro-mamukelashvili-1.html
manntr01,tre-mann-1,https://www.sports-reference.com/cbb/players/tre-mann-1.html
