nba_player_id,1_2_Court_Att.,1_2_Court_Md.,Corner_3s_3Ppct,Corner_3s_pct3PA,Dunks_#,Dunks_pctFGA,FGpct_by_Distance_0-3,FGpct_by_Distance_10-16,FGpct_by_Distance_16-3P,FGpct_by_Distance_2P,FGpct_by_Distance_3-10,FGpct_by_Distance_3P,pct_of_FGA_by_Distance_0-3,pct_of_FGA_by_Distance_10-16,pct_of_FGA_by_Distance_16-3P,pct_of_FGA_by_Distance_2P,pct_of_FGA_by_Distance_3-10,pct_of_FGA_by_Distance_3P,pct_of_FG_Ast'd_2P,pct_of_FG_Ast'd_3P
alabiso01,0.0,0.0,,,25.0,0.196,0.619,0.133,0.0,0.314,0.1,,0.412,0.294,0.098,1.0,0.196,0.0,,
aldrico01,0.0,0.0,,,5.0,0.333,1.0,,,0.533,0.222,,0.4,0.0,0.0,1.0,0.6,0.0,,
aldrico01,0.0,0.0,,,13.0,0.333,0.696,0.0,,0.524,0.333,,0.548,0.024,0.0,1.0,0.429,0.0,,
aldrico01,0.0,0.0,,,16.0,0.25,0.682,1.0,,0.55,0.371,,0.55,0.013,0.0,1.0,0.438,0.0,,
aldrico01,0.0,0.0,,,8.0,0.256,0.636,1.0,,0.535,0.4,,0.512,0.023,0.0,1.0,0.465,0.0,,
aldrico01,0.0,0.0,,,8.0,0.243,0.727,,,0.568,0.333,,0.595,0.0,0.0,1.0,0.405,0.0,,
aldrico01,0.0,0.0,,,7.0,0.131,0.633,,,0.541,0.452,,0.492,0.0,0.0,1.0,0.508,0.0,,
aldrico01,0.0,0.0,,,26.0,0.093,0.676,0.333,0.0,0.478,0.376,,0.359,0.06,0.007,1.0,0.575,0.0,,
aldrico01,0.0,0.0,,,17.0,0.093,0.667,0.0,,0.596,0.521,,0.56,0.013,0.0,1.0,0.427,0.0,,
aldrico01,0.0,0.0,,,11.0,0.128,0.64,0.0,,0.523,0.371,,0.581,0.012,0.0,1.0,0.407,0.0,,
aldrico01,0.0,0.0,,,1.0,0.067,0.25,,,0.333,0.429,,0.533,0.0,0.0,1.0,0.467,0.0,,
aldrico01,0.0,0.0,,,96.0,0.131,0.663,0.292,0.0,0.527,0.411,,0.479,0.029,0.002,1.0,0.49,0.0,,
aldrico01,0.0,0.0,,,23.0,0.131,0.663,0.292,0.0,0.527,0.411,,0.479,0.029,0.002,1.0,0.49,0.0,,
aldrico01,,,,,,,,,,,,,,,,,,,,
aldrico01,0.0,0.0,,,33.0,0.099,0.667,0.333,0.0,0.489,0.387,,0.381,0.05,0.006,1.0,0.564,0.0,,
aldrico01,0.0,0.0,,,12.0,0.119,0.586,0.0,,0.495,0.381,,0.574,0.01,0.0,1.0,0.416,0.0,,
aldrico01,0.0,0.0,,,18.0,0.333,0.759,0.0,,0.526,0.296,,0.509,0.018,0.0,1.0,0.474,0.0,,
aldrico01,0.0,0.0,,,17.0,0.093,0.667,0.0,,0.596,0.521,,0.56,0.013,0.0,1.0,0.427,0.0,,
aldrico01,0.0,0.0,,,8.0,0.256,0.636,1.0,,0.535,0.4,,0.512,0.023,0.0,1.0,0.465,0.0,,
aldrico01,0.0,0.0,,,8.0,0.243,0.727,,,0.568,0.333,,0.595,0.0,0.0,1.0,0.405,0.0,,
aldrila01,0.0,0.0,,0.0,52.0,0.121,0.71,0.312,0.39,0.505,0.484,0.0,0.367,0.194,0.305,0.996,0.129,0.004,0.68,
aldrila01,2.0,0.0,0.0,0.143,86.0,0.079,0.693,0.443,0.403,0.486,0.463,0.143,0.197,0.218,0.308,0.994,0.272,0.006,0.645,1.0
aldrila01,3.0,0.0,0.389,0.643,108.0,0.098,0.671,0.422,0.418,0.489,0.45,0.25,0.245,0.179,0.343,0.977,0.211,0.023,0.567,1.0
aldrila01,3.0,0.0,0.667,0.375,87.0,0.078,0.716,0.431,0.409,0.498,0.442,0.313,0.247,0.21,0.314,0.986,0.215,0.014,0.57,1.0
aldrila01,4.0,0.0,0.0,0.217,148.0,0.117,0.704,0.402,0.427,0.505,0.397,0.174,0.32,0.155,0.238,0.984,0.271,0.016,0.546,0.75
aldrila01,1.0,0.0,0.0,0.364,54.0,0.062,0.687,0.404,0.434,0.516,0.523,0.182,0.281,0.205,0.32,0.988,0.182,0.012,0.536,0.5
aldrila01,1.0,0.0,0.25,0.286,56.0,0.047,0.694,0.438,0.418,0.488,0.447,0.143,0.215,0.197,0.385,0.989,0.192,0.011,0.542,0.5
aldrila01,1.0,0.0,0.0,0.067,36.0,0.027,0.675,0.388,0.442,0.461,0.364,0.2,0.186,0.226,0.415,0.989,0.162,0.011,0.599,0.667
aldrila01,1.0,0.0,0.355,0.295,27.0,0.02,0.7,0.392,0.415,0.475,0.448,0.352,0.193,0.206,0.365,0.926,0.163,0.074,0.468,0.919
aldrila01,0.0,0.0,0.0,0.5,47.0,0.047,0.733,0.427,0.426,0.521,0.465,0.0,0.279,0.211,0.303,0.985,0.191,0.015,0.66,
aldrila01,0.0,0.0,0.435,0.411,37.0,0.041,0.7,0.387,0.424,0.48,0.422,0.411,0.222,0.202,0.328,0.947,0.194,0.053,0.577,0.957
aldrila01,1.0,0.0,0.467,0.163,46.0,0.036,0.735,0.438,0.431,0.526,0.446,0.293,0.275,0.256,0.189,0.932,0.212,0.068,0.502,0.963
aldrila01,0.0,0.0,0.25,0.095,51.0,0.042,0.716,0.437,0.442,0.528,0.485,0.238,0.27,0.252,0.201,0.968,0.246,0.032,0.588,0.9
aldrila01,1.0,0.0,0.379,0.185,31.0,0.044,0.719,0.461,0.433,0.519,0.471,0.389,0.202,0.227,0.245,0.802,0.129,0.198,0.567,0.951
aldrila01,0.0,0.0,0.429,0.175,12.0,0.044,0.622,0.444,0.489,0.505,0.472,0.388,0.152,0.152,0.304,0.73,0.122,0.27,0.688,0.968
aldrila01,0.0,0.0,0.417,0.16,6.0,0.024,0.63,0.452,0.518,0.509,0.438,0.36,0.109,0.125,0.335,0.698,0.129,0.302,0.705,0.963
aldrila01,0.0,0.0,0.5,0.4,6.0,0.146,0.611,0.429,0.143,0.488,0.75,0.8,0.375,0.292,0.146,0.896,0.083,0.104,0.619,1.0
aldrila01,0.0,0.0,0.308,0.283,18.0,0.039,0.723,0.509,0.559,0.578,0.519,0.304,0.205,0.24,0.277,0.9,0.168,0.1,0.739,1.0
aldrila01,18.0,0.0,0.352,0.248,896.0,0.058,0.704,0.421,0.428,0.5,0.447,0.32,0.242,0.21,0.305,0.958,0.201,0.042,0.575,0.938
aldrila01,1.0,0.0,0.352,0.248,68.0,0.058,0.704,0.421,0.428,0.5,0.447,0.32,0.242,0.21,0.305,0.958,0.201,0.042,0.575,0.938
aldrila01,,,,,,,,,,,,,,,,,,,,
aldrila01,16.0,0.0,0.329,0.317,654.0,0.068,0.695,0.41,0.42,0.489,0.439,0.276,0.24,0.199,0.336,0.979,0.204,0.021,0.564,0.885
aldrila01,2.0,0.0,0.374,0.208,218.0,0.041,0.72,0.431,0.436,0.516,0.458,0.338,0.248,0.228,0.251,0.924,0.198,0.076,0.58,0.953
aldrila01,0.0,0.0,0.333,0.294,24.0,0.049,0.705,0.5,0.537,0.569,0.531,0.353,0.221,0.245,0.265,0.899,0.16,0.101,0.73,1.0
