nba_player_id,3PAr,ASTpct,Age,Awards,BLKpct,BPM,DBPM,DRBpct,DWS,FTr,G,GS,Lg,MP,OBPM,ORBpct,OWS,PER,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,VORP,WS,WS_48
afflaar01,0.396,5.5,,,0.2,-3.8,-0.8,8.5,0.5,0.207,25.0,19.0,POR (1 Yr),752.0,-3.0,0.9,0.2,8.2,,0.6,POR (1 Yr),11.8,4.8,0.533,POR (1 Yr),16.7,-0.4,0.8,0.049
agerma01,0.214,5.0,22.0,,1.1,-8.7,-1.3,11.0,0.2,0.471,32.0,1.0,NBA,214.0,-7.4,0.6,-0.5,2.9,SG,1.0,2006-07,15.1,5.9,0.408,DAL,21.7,-0.4,-0.3,-0.06
agerma01,0.292,8.0,23.0,,0.4,-11.1,-4.2,6.3,0.0,0.185,26.0,3.0,NBA,165.0,-6.8,2.8,-0.4,1.8,SG,0.0,2007-08,7.9,4.6,0.363,2TM,21.3,-0.4,-0.4,-0.114
agerma01,0.296,7.4,23.0,,1.0,-13.7,-3.6,4.4,0.0,0.222,12.0,3.0,NBA,77.0,-10.1,1.6,-0.3,-4.4,SG,0.0,2007-08,9.2,3.0,0.253,DAL,19.8,-0.2,-0.3,-0.181
agerma01,0.289,8.4,23.0,,0.0,-8.7,-4.8,7.9,0.0,0.158,14.0,0.0,NBA,88.0,-4.0,3.9,-0.1,7.1,SG,0.0,2007-08,6.9,5.9,0.443,NJN,22.7,-0.1,-0.1,-0.056
agerma01,0.14,5.3,24.0,,1.7,-10.7,-2.8,8.7,0.0,0.186,20.0,0.0,NBA,97.0,-7.9,3.6,-0.3,2.2,SG,0.6,2008-09,7.9,6.1,0.365,NJN,24.4,-0.2,-0.3,-0.133
agerma01,,,,Did not play - other pro league,,,,,,,,,Did not play - other pro league,,,,,,Did not play - other pro league,,2009-10,,,,Did not play - other pro league,,,,
agerma01,0.364,6.0,26.0,,0.0,-0.7,0.2,7.9,0.0,0.0,4.0,0.0,NBA,29.0,-0.9,0.0,0.0,10.1,SG,1.7,2010-11,26.7,3.8,0.682,MIN,22.0,0.0,0.0,-0.015
agerma01,0.233,6.1,,,0.9,-9.4,-2.5,8.8,0.3,0.28,82.0,4.0,4 Yrs,505.0,-6.9,1.9,-1.3,2.8,,0.6,4 Yrs,12.0,5.4,0.398,4 Yrs,22.1,-0.9,-0.9,-0.089
agerma01,0.233,6.1,,,0.9,-9.4,-2.5,8.8,0.3,0.28,82.0,4.0,82 Game Avg,505.0,-6.9,1.9,-1.3,2.8,,0.6,82 Game Avg,12.0,5.4,0.398,82 Game Avg,22.1,-0.9,-0.9,-0.089
agerma01,0.237,5.6,,,1.0,-10.0,-1.9,9.3,0.3,0.402,44.0,4.0,DAL (2 Yrs),291.0,-8.1,0.8,-0.8,1.0,,0.7,DAL (2 Yrs),13.6,5.1,0.368,DAL (2 Yrs),21.2,-0.6,-0.6,-0.092
agerma01,0.21,6.8,,,0.9,-9.8,-3.8,8.3,0.0,0.173,34.0,0.0,NJN (2 Yrs),185.0,-6.0,3.8,-0.4,4.5,,0.3,NJN (2 Yrs),7.4,6.0,0.402,NJN (2 Yrs),23.6,-0.4,-0.4,-0.096
agerma01,0.364,6.0,,,0.0,-0.7,0.2,7.9,0.0,0.0,4.0,0.0,MIN (1 Yr),29.0,-0.9,0.0,0.0,10.1,,1.7,MIN (1 Yr),26.7,3.8,0.682,MIN (1 Yr),22.0,0.0,0.0,-0.015
ajincal01,0.029,2.8,20.0,,2.7,-7.5,0.1,14.2,0.3,0.406,31.0,4.0,NBA,182.0,-7.6,6.2,-0.3,7.0,PF,2.1,2008-09,12.9,10.2,0.43,CHA,24.2,-0.3,-0.1,-0.018
ajincal01,0.0,0.0,21.0,,2.7,-5.3,1.0,11.8,0.0,0.1,6.0,0.0,NBA,30.0,-6.3,4.1,-0.1,6.3,C,1.8,2009-10,16.1,8.0,0.479,CHA,19.3,0.0,0.0,-0.013
ajincal01,0.256,4.8,22.0,,4.2,-3.8,0.0,21.5,0.4,0.135,34.0,2.0,NBA,340.0,-3.8,5.9,0.0,12.2,C,1.7,2010-11,11.3,13.6,0.507,2TM,21.1,-0.2,0.4,0.052
ajincal01,0.219,4.3,22.0,,5.1,-2.9,0.5,18.0,0.1,0.094,10.0,2.0,NBA,75.0,-3.4,8.1,0.0,12.8,C,2.1,2010-11,2.9,13.3,0.435,DAL,21.4,0.0,0.1,0.084
ajincal01,0.267,4.9,22.0,,4.0,-4.1,-0.2,22.5,0.2,0.149,24.0,0.0,NBA,265.0,-3.8,5.2,0.0,12.0,C,1.6,2010-11,13.6,13.6,0.53,TOR,21.1,-0.1,0.2,0.042
ajincal01,,,,Did not play - other pro league,,,,,,,,,Did not play - other pro league,,,,,,Did not play - other pro league,,2011-12,,,,Did not play - other pro league,,,,
ajincal01,,,,Did not play - other pro league,,,,,,,,,Did not play - other pro league,,,,,,Did not play - other pro league,,2012-13,,,,Did not play - other pro league,,,,
ajincal01,0.004,6.6,25.0,,4.1,-2.6,0.1,22.7,0.9,0.269,56.0,30.0,NBA,951.0,-2.7,11.3,1.2,14.6,C,1.3,2013-14,18.4,16.9,0.589,NOP,16.3,-0.1,2.1,0.104
ajincal01,0.0,8.2,26.0,,4.0,-0.3,0.4,25.0,1.2,0.301,68.0,8.0,NBA,957.0,-0.7,12.4,1.9,19.9,C,1.2,2014-15,15.6,18.7,0.595,NOP,21.1,0.4,3.2,0.159
ajincal01,0.003,5.8,27.0,,3.4,-4.0,-0.6,25.9,0.9,0.197,59.0,17.0,NBA,861.0,-3.4,9.3,0.2,13.8,C,1.1,2015-16,13.6,17.3,0.514,NOP,20.4,-0.4,1.0,0.058
ajincal01,0.022,3.1,28.0,,3.1,-3.3,0.7,23.8,0.9,0.225,39.0,15.0,NBA,584.0,-4.0,8.3,0.0,12.9,C,1.7,2016-17,13.7,16.0,0.529,NOP,17.2,-0.2,1.0,0.08
ajincal01,0.033,5.9,,,3.7,-2.8,0.1,23.5,4.6,0.246,293.0,76.0,7 Yrs,3905.0,-2.9,9.9,2.9,14.9,,1.3,7 Yrs,14.9,16.6,0.546,7 Yrs,19.3,-0.8,7.5,0.093
ajincal01,0.033,5.9,,,3.7,-2.8,0.1,23.5,1.3,0.246,82.0,21.0,82 Game Avg,1093.0,-2.9,9.9,0.8,14.9,,1.3,82 Game Avg,14.9,16.6,0.546,82 Game Avg,19.3,-0.2,2.1,0.093
ajincal01,0.006,6.3,,,3.7,-2.4,0.1,24.4,3.9,0.25,222.0,70.0,NOP (4 Yrs),3353.0,-2.5,10.6,3.3,15.6,,1.3,NOP (4 Yrs),15.4,17.4,0.559,NOP (4 Yrs),18.9,-0.4,7.3,0.104
ajincal01,0.025,2.4,,,2.7,-7.2,0.3,13.9,0.3,0.367,37.0,4.0,CHA (2 Yrs),212.0,-7.4,5.9,-0.4,6.9,,2.0,CHA (2 Yrs),13.2,9.9,0.436,CHA (2 Yrs),23.5,-0.3,-0.1,-0.018
ajincal01,0.267,4.9,,,4.0,-4.1,-0.2,22.5,0.2,0.149,24.0,0.0,TOR (1 Yr),265.0,-3.8,5.2,0.0,12.0,,1.6,TOR (1 Yr),13.6,13.6,0.53,TOR (1 Yr),21.1,-0.1,0.2,0.042
ajincal01,0.219,4.3,,,5.1,-2.9,0.5,18.0,0.1,0.094,10.0,2.0,DAL (1 Yr),75.0,-3.4,8.1,0.0,12.8,,2.1,DAL (1 Yr),2.9,13.3,0.435,DAL (1 Yr),21.4,0.0,0.1,0.084
alabiso01,0.0,4.6,22.0,,2.6,-8.9,-2.9,14.4,0.0,0.133,12.0,0.0,NBA,59.0,-6.0,13.7,-0.2,2.0,C,1.8,2010-11,15.9,14.1,0.189,TOR,14.3,-0.1,-0.2,-0.142
alabiso01,0.0,4.1,23.0,,6.0,-2.2,0.7,30.4,0.2,0.222,14.0,0.0,NBA,122.0,-2.9,14.6,0.0,14.2,C,0.9,2011-12,11.2,22.6,0.418,TOR,17.2,0.0,0.2,0.083
alabiso01,0.0,4.2,,,4.9,-4.4,-0.5,25.2,0.3,0.196,26.0,0.0,2 Yrs,181.0,-3.9,14.3,-0.2,10.3,,1.2,2 Yrs,12.6,19.8,0.352,2 Yrs,16.3,-0.1,0.0,0.01
alabiso01,0.0,4.2,,,4.9,-4.4,-0.5,25.2,0.8,0.196,82.0,0.0,82 Game Avg,571.0,-3.9,14.3,-0.7,10.3,,1.2,82 Game Avg,12.6,19.8,0.352,82 Game Avg,16.3,-0.3,0.1,0.01
aldrico01,0.0,4.0,22.0,,3.6,-4.0,1.6,17.5,0.2,0.267,18.0,0.0,NBA,142.0,-5.6,11.1,0.0,7.0,C,1.8,2010-11,32.3,14.4,0.537,OKC,7.9,-0.1,0.2,0.066
aldrico01,0.0,2.7,23.0,,6.7,1.0,2.2,21.6,0.4,0.333,26.0,0.0,NBA,173.0,-1.3,9.2,0.3,17.7,C,2.4,2011-12,15.7,15.8,0.592,OKC,14.9,0.1,0.6,0.176
aldrico01,0.0,3.4,24.0,,4.6,-2.9,0.6,26.7,0.4,0.25,45.0,0.0,NBA,388.0,-3.5,8.7,0.1,11.1,C,0.7,2012-13,20.6,17.7,0.563,2TM,12.7,-0.1,0.6,0.07
aldrico01,0.0,4.1,24.0,,3.2,-5.0,0.6,23.7,0.3,0.209,30.0,0.0,NBA,213.0,-5.6,6.5,-0.1,7.3,C,0.7,2012-13,23.0,15.2,0.532,HOU,12.5,-0.2,0.2,0.038
aldrico01,0.0,2.6,24.0,,6.3,-0.5,0.5,30.4,0.2,0.297,15.0,0.0,NBA,175.0,-1.0,11.5,0.2,15.7,C,0.6,2012-13,17.7,20.7,0.598,SAC,12.9,0.1,0.4,0.109
