nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
allenra02,6.9,15.3,0.453,2.2,6.0,0.364,5.8,22.0,,0.2,4.5,108.0,9.1,21.3,0.428,5.5,6.3,0.875,82.0,82.0,NBA,3287.0,2.1,106.0,4.0,25.9,SG,1.8,1997-98,4.3,6.6,MIL,0.479
allenra02,7.3,14.9,0.492,2.4,6.7,0.356,5.7,23.0,,0.2,5.0,106.0,9.7,21.6,0.45,5.6,6.3,0.903,50.0,50.0,NBA,1719.0,1.8,110.0,3.8,27.5,SG,1.7,1998-99,3.9,6.8,MIL,0.505
allenra02,7.9,16.9,0.468,2.9,6.9,0.423,5.2,24.0,AS,0.3,4.7,110.0,10.8,23.8,0.455,6.0,6.7,0.887,82.0,82.0,NBA,3070.0,1.4,115.0,3.2,30.5,SG,1.9,1999-00,3.1,6.1,MIL,0.516
allenra02,7.1,14.0,0.506,3.4,7.8,0.433,6.2,25.0,"MVP-11,AS,NBA3",0.3,5.4,106.0,10.5,21.8,0.48,5.8,6.5,0.888,82.0,82.0,NBA,3129.0,1.7,119.0,3.2,30.1,SG,2.1,2000-01,3.4,7.1,MIL,0.557
allenra02,6.3,13.1,0.485,4.8,11.1,0.434,5.7,26.0,AS,0.4,4.9,109.0,11.2,24.2,0.462,4.5,5.2,0.873,69.0,67.0,NBA,2525.0,1.7,116.0,3.3,31.7,SG,1.9,2001-02,3.4,6.6,MIL,0.561
allenra02,7.4,15.5,0.478,3.7,9.9,0.377,6.2,27.0,,0.3,5.3,108.0,11.1,25.4,0.439,5.9,6.4,0.916,76.0,75.0,NBA,2880.0,1.8,111.0,4.1,31.9,SG,1.9,2002-03,3.7,7.1,2TM,0.512
allenra02,7.2,15.5,0.463,3.9,9.8,0.395,5.2,27.0,,0.3,5.5,110.0,11.1,25.3,0.437,5.6,6.2,0.913,47.0,46.0,NBA,1683.0,1.4,109.0,4.7,31.6,SG,1.8,2002-03,3.7,6.9,MIL,0.514
allenra02,7.7,15.4,0.5,3.6,10.1,0.351,7.7,27.0,,0.1,5.2,105.0,11.2,25.5,0.441,6.3,6.8,0.92,29.0,29.0,NBA,1197.0,2.2,114.0,3.2,32.3,SG,2.1,2002-03,3.7,7.4,SEA,0.511
allenra02,7.4,15.8,0.468,3.7,9.4,0.392,6.6,28.0,AS,0.3,5.4,110.0,11.1,25.2,0.44,6.1,6.7,0.904,56.0,56.0,NBA,2152.0,1.7,112.0,3.3,31.9,SG,1.8,2003-04,3.9,7.1,SEA,0.512
allenra02,7.7,16.7,0.459,3.7,9.9,0.376,5.2,29.0,"MVP-9,AS,NBA2",0.1,4.8,112.0,11.4,26.6,0.428,6.7,7.6,0.883,78.0,78.0,NBA,3064.0,1.4,117.0,3.0,33.3,SG,1.5,2004-05,3.0,6.2,SEA,0.498
allenra02,7.1,14.7,0.486,4.7,11.3,0.412,5.0,30.0,AS,0.3,4.5,116.0,11.8,26.0,0.454,5.6,6.2,0.903,78.0,78.0,NBA,3022.0,1.2,118.0,2.6,33.9,SG,1.8,2005-06,3.3,5.8,SEA,0.544
allenra02,8.0,16.7,0.479,3.9,10.4,0.372,5.4,31.0,AS,0.3,4.5,112.0,11.9,27.2,0.438,6.6,7.3,0.903,55.0,55.0,NBA,2219.0,1.3,112.0,2.7,34.3,SG,1.9,2006-07,3.6,5.8,SEA,0.51
