college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,,,,,,,,,,JR,Sun Belt,,,,,,,,,22.0,22.0,792.0,,,,,G,,1999-00,,,FIU,
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,,,,,,,,,,SR,Sun Belt,,,,,,,,,29.0,29.0,1113.0,,,,,G,,2000-01,,,FIU,
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,,,,,,,,,,Career,Career,,,,,,,,,100.0,51.0,3275.0,,,,,,,Career,,,Career,
ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,,,,,,,,,,FR,Big East,,,,,,,,,32.0,12.0,870.0,,,,,F,,1997-98,,,St. John's (NY),
ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,,,,,,,,,,SO,Big East,,,,,,,,,37.0,37.0,1265.0,,,,,F,,1998-99,,,St. John's (NY),
ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,,,,,,,,,,Career,Career,,,,,,,,,69.0,49.0,2135.0,,,,,,,Career,,,Career,
darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,,,,,,,,,,FR,Big 12,,,,,,,,,38.0,7.0,721.0,,,,,F,,2006-07,,,Kansas,
darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,,,,,,,,,,SO,Big 12,,,,,,,,,40.0,39.0,989.0,,,,,F,,2007-08,,,Kansas,
darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,,,,,,,,,,Career,Career,,,,,,,,,78.0,46.0,1710.0,,,,,,,Career,,,Career,
dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,,,,,,,,,,FR,Big 12,,,,,,,,,35.0,35.0,1245.0,,,,,G,,2006-07,,,Texas,
dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,,,,,,,,AA-1,,SO,Big 12,,,,,,,,,38.0,38.0,1417.0,,,,,G,,2007-08,,,Texas,
